IMAGE          CREATED          CREATED BY                                      SIZE      COMMENT
aff26306099c   20 seconds ago   RUN /bin/sh -c chmod +x /usr/local/bin/circl…   4.69kB    buildkit.dockerfile.v0
<missing>      20 seconds ago   ADD https://circle-downloads.s3.amazonaws.co…   4.69kB    buildkit.dockerfile.v0
<missing>      20 seconds ago   COPY /usr/local/bin/docker /usr/local/bin/do…   19.9MB    buildkit.dockerfile.v0
<missing>      20 seconds ago   RUN /bin/sh -c apt-get update -y && apt-get …   1.91GB    buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV DBUS_SESSION_BUS_ADDRESS=/dev/null          0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV DOCKERIZE_VERSION=v0.6.1                    0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV CLOUD_SDK_VERSION=232.0.0                   0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV npm_config_unsafe_perm=true                 0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV npm_config_loglevel=warn                    0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV TERM=xterm                                  0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV LC_ALL=C.UTF-8                              0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV LANG=C.UTF-8                                0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV LANGUAGE=en_US:en                           0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   ENV DEBIAN_FRONTEND=noninteractive              0B        buildkit.dockerfile.v0
<missing>      20 seconds ago   LABEL maintainer=support@hypefactors.com        0B        buildkit.dockerfile.v0
<missing>      3 days ago       /bin/sh -c #(nop)  CMD ["bash"]                 0B        
<missing>      3 days ago       /bin/sh -c #(nop) ADD file:8d2f4a45a58b3f542…   72.8MB    
